STATUS,RETAILER,ADDRESS,CITY,STATE,ZIP,WEBSITE,EMAIL,PHONE,DESCRIPTION
inactive,Cupcake Couture USA,328 E Atlantic Avenue,Delray Beach,FL,33483,cupcakecoutureusa.com,yum@cupcakecoutureusa.com,561 276 2334,
inactive,The Mark Hotel,Madison Avenue at 77th Street,New York,NY,10075,themarkhotel.com,ownership@themarkhotel.com,212 772 1600,
inactive,Laure De Mazieres,3817 NE 2nd Avenue,Miami,FL,33137,lauredemazieres.com,demazieres@aol.com,305 576 6454,need pics
inactive,B & B on Tiffany Hill,400 Ray Hill Road,Mills River,NC,28759,bbontiffanyhill.com,vacation@bbontiffanyhill.com,828 290 6080,
inactive,Sharron Lewis,1601 NE 2nd Avenue,Miami,FL,33132,sharronlewis.com,unknown@sharronlewis.com,305 373 7330,
inactive,Aqua Home Interiors,4747 PGA Boulevard,Palm Beach Gardens,FL,33418,aquahomeinteriors.com,info@aquahomeinteriors.com,561 630 8070,
inactive,Caroline Martin Photography,,,CA,92078,carolinemartinphotography.com,caroline@carolinemartinphotography.com,,
inactive,Tara McGovern Photography,,Sequim,WA,,taramc.com,taramcgovern86@yahoo.com,360 477 4014,
inactive,Midnight Farm,18 Water-Cromwell Lane,Vineyard Haven,MA,02568,midnightfarm.net,info@midnightfarm.net,508 693 1997,
inactive,Cottage Chic,1232 East Boulevard,Charlotte,NC,28203,cottagechicstore.com,shopcottagechic@earthlink.net,910 944 0501 ,
active,Melinda Michelle,,McKinney,TX,,melindamichelle.com,melinda@melindamichelle.com,972 658 9032,
inactive,Lulu Pom,100 W Main Street,Las Gatos,CA,95030,lulupom.com,unknown@lulupom.com,408 399 5572,
inactive,Time Worn Interiors,211 E Main Street,Glendale ,KY,42740,http://timeworninteriors.blogspot.com,timeworninteriors@yahoo.com,270 369 2017,
inactive,Interior Expressions,11015 N Oracle Road Suite 121,Oro Valley,AZ,85737,interiorexpressionsaz.com,unknown@interiorexpressionsaz.com,520 825 8256,
inactive,Modern Manor,716 W Hazelwood Street,Phoenix,AZ,85013,modernmanorstore.com,unknown@modernmanorstore.com,602 509 7709,
inactive,Atelier Joya,2565 3rd Street Suite 304,San Francisco,CA,94107,atelierjoya.com,info@atelierjoya.com,415 944 8773,
inactive,City Farmhouse,111 Bridge Street,Franklin,TN,37064,cityfarmhousefranklin.com,Kim@cityfarmhousefranklin.com,615 790 8101,
inactive,Joans on Third,8350 W Third Street,Los Angeles,CA,90048,joansonthird.com,info@joansonthird.com,323 655 2285,
inactive,Watson Kennedy,86 Pine Street,Seattle,WA,98101,watsonkennedy.com,purveyor@watsonkennedy.com,206 443 6281,
inactive,J. Seitz & Company,9 E Shore Road,New Preston,CT,06777,jseitz.com,j.seitz@snet.net,860 868 0119,
inactive,Suzanne Cummings Flowers,630 W Webster Avenue,Chicago,IL,60614,suzannecummingsflowers.com,info@suzannecummingsflowers.com,773 880 9805,
inactive,Uptown Country Home,3419 Milton Avenue,Dallas,TX,75205,uptowncountryhome.com,info@uptowncountryhome.com,469 232 2042,
inactive,Devanes,430 W New England Avenue,Winterpark,FL,32789,devanes.net,DeVanesLLC@aol.com,407 645 1951,
inactive,Pie Lab,1317 Main Street,Greensboro,AL,36744,pielab.org,john@herohousing.org,334 624 3899,
inactive,Postcard From Paris,631 and 633 S Main Street,Greenville,SC,29601,postcardfromparis.com,unknown@postcardfromparis.com,864 233 6622,
inactive,Osmond Design,1660 N State Street,Orem,UT,84057,osmonddesigns.com,unknown@osmonddesigns.com,801 255 2555,
inactive,Tara Shaw Design,1240 Camp Street,New Orleans,LA,70130,tarashaw.com,info@tarashaw.com,504 525 1131,
inactive,Shannon Fricke,,,,,shannonfricke.com,email@shannonfricke.com,,have pics
inactive,Elan Interiors,505 E Fayette Street,Syracuse,NY,13202,elaninteriordesign.com,cbuchika@elaninteriordesign.com,,Elan Interiors Home Boutique
inactive,Stanton Home Furnishings,1194 Huff Road,Atlanta,GA,30318,stantonhomefurnishings.com,west@stantonhomefurnishings.com,404 351 3890,"37 Fennell St., Second Flr. Skaneateles, NY 13152"
inactive,Atelier de Campagne,15 Mountain View Road,,CA,,atelierdecampagne.webs.com,infoatelierdc@gmail.com,,
inactive,Jayson Home,1885 N Clybourn Avenue,Chicago,IL,60614,jaysonhome.com,info@jaysonhome.com,773 248 8180,
,,,,,,,,,
