STATUS,RETAILER,ADDRESS,CITY,STATE,ZIP,WEBSITE,EMAIL,PHONE,DESCRIPTION
inactive,Redeem,1734 14th Street NW ,Washington,DC,20009,redeemus.com,info@redeemus.com,202 332 7447,
inactive,Una Mae's,1528 N Milwaukee Avenue,Chicago,IL,60622,unamaeschicago.com,unamaeschicago@gmail.com,773 276 7002,
inactive,Twig & Willow,3740 E 4th Street,Long Beach,CA,90814,twigandwillow.com,online@twigandwillow.com,562 433 8944,
inactive,Devall Design & Home,562 N Larchmont Boulevard,Los Angeles,CA,90004,devalldesignhome.com,info@devalldesignhome.com,323 378 5225,
inactive,Individual Medley,3176 Glendale Boulevard,Los Angeles,CA,90039,theindividualmedley.com,individualmedleystore@gmail.com,323 665 5344,
inactive,Morgan Kylee,3273 Roswell Road,Atlanta,GA,30375,morgankylee.com,info@morgankylee.com,404 307 4668,
inactive,Simply Put Paper & Gift,1170 Howell Mill Road Suite 104,Atlanta,GA,30318,simplyputpaper.com,simplyput@simplyputpaper.com,404 881 8660,
inactive,South of Market,345 Peachtree Hills Avenue,Atlanta,GA,30305,southofmarket.biz,unknown@southofmarket.biz,404 995 9399,
inactive,Dandelion,3729 Lexington Road,Louisville,KY,40207,dandelionhome.com,andie@dandelionhome.com,502 899 3729,
inactive,Take Heart,1111 E 11th Street Suite 100,Austin,TX,78702,takeheartshop.com,nina@takeheartshop.com,512 520 9664,
inactive,Settlement Goods & Design,3939 Montrose Suite M,Houston,TX,77006,settlementgoods.com,info@settlementgoods.com,713 701 7USA,
inactive,Red Barn Mercantile,1117 King Street,Alexandria,VA,22314,redbarnmercantile.com,customerservice@redbarnmercantile.com,703 838 0355,
inactive,Lucca,5332 Ballard Avenue,Seattle,WA,98107,luccagreatfinds.com,unknown@luccagreatfinds.com,206 782 7337,
inactive,The House Downtown,524 E Belvedere Avenue,Baltimore,MD,21212,thehousedowntown.com,info@thehousedowntown.com,410 464 1440,
inactive,Truly,2175 4th Street,White Bear Lake,MN,55110,trulyonline.com,unknown@trulyonline.com,651 426 8414,
inactive,Lounge Interiors,1491 Canton Mart Rd Suite 10,Jackson,MS,39211,loungeinteriors.com,loungeinteriors@gmail.com,601 206 1788,
inactive,Gus & Ruby Letterpress,29 Congress Street,Portsmouth,NH,03801,gusandruby.com,hello@gusandruby.com,603 319 1717,
inactive,MADE,125 North Cache Gaslight Alley,Jackson,WY,83001,madejacksonhole.com,hello@madejacksonhole.com,307 690 7957,
inactive,Lone Leaf Framing,101 W Main Street,Washington,NC,27889,mnloughlin.blogspot.com,loneleafgallery@gmail.com,252 833 4889,
inactive,The Feather's Edge Finery,113 NW Minnesota Avenue,Bend,OR,97701,thefeathersedge.com,steph@thefeathersedge.com,541 306 3162,
inactive,House 15143,439 Beaver Street,Sewickley,PA,15143,house15143.com,drop_a_note@house15143.com,412 259 8953,
inactive,local home & gifts,29 W State Street,Media,PA,19063,localhomeandgifts.com,info@localhomeandgifts.com,610 566 5661,
inactive,Meadowsweet Vintage,4390 Main Street,Philadelphia,PA,19127,meadowsweetvintageshop.com,meadowsweetvintage@gmail.com,215 756 4802,
inactive,H. Audrey,4027 Hillsboro Pike Suite 703,Nashville,TN,37215,haudrey.com,info@haudrey.com,615 760 5701,
inactive,Atomic Garden,5453 College Avenue,Oakland,CA,94618,atomicgardenoakland.com,info@atomicgardenoakland.com,510 923 0543,
inactive,Prairie Chick,2605 41st Street,Spirit Lake,IA,51360,prairiechick.com,info@prairiechick.com,712 332 2040,
