STATUS,MANUFACTURER,ADDRESS,CITY,STATE,ZIP,WEBSITE,EMAIL,PHONE,DESCRIPTION
inactive,Full Bloom Cottage,2970 Saturn Street Unit D,Brea,CA,92821,fullbloomcottage.com,info@fullbloomcottage.com,714 600 8971,
inactive,Go Home,132-01 34th Avenue,Flushing,NY,11354,gohomeltd.com,brian@brianwynn.com,718 445 4022,
inactive,Grassroots,9311 Broadway #300,San Antonio,TX,78217,grassrootsimports.com,shilrey@grassrootsimports.com,210 805 0191,
active,Guildmaster/Decorize,1938 E Phelps,Springfield,MO,65802,decorize.com,z.brewer@guildmaster.com,877 669 3326   ,
inactive,Indias Heritage,600 Meadowlands Parkway Suite 18,Secaucus ,NJ,7094,indiasheritage.net,divyesh@indiasheritage.net,866 246 3427,
inactive,Jacaranda Living Linens,177 Worcester Street Suite 303,Wellesley,MA,2481,jacarandaliving.com,info@jacarandaliving.com,781 416 3533,
inactive,Jamie Young,"331 W. Victoria St. Gardena, CA 90248",Gardena,CA,90248,jamieyoung.com,charlee@jamieyoung.com,310 807 8474,
active,Lacefield Designs,2990 A Olympic Industrial Drive,Smyrna,GA,30080,lacefielddesigns.com,info@lacefielddesigns.com,404 351 5450,
inactive,Linen Me, 22 Merchandise Mart Plaza Suite 1524 A ,Chicago,IL,60654,linenme.com,inga@linenme.com ,312 233 2929,
active,Low Country Originals,40 Pennington Drive Sheridan Park Suite A ,Bluffington,SC,29910,lowcountryoriginals.net,sherry@lowcountryoriginals.net,843 815 8080         ,
inactive,Lucy Smith Designs,PO Box 69,Anniston,AL,36202,lucysmithdesigns.com,lsmith@lucysmithdesigns.com,205 202 0922,
inactive,Match,8 Hope Street,Jersey City,NJ,7307,match1995.com,mail@match1995.com,201 792 9444,
active,Moss Studios inc.,108 E Prospect Avenue,Burbank,CA,91502,mossstudio.com,john@mossstudio.com,818 566 1616,
active,Napa Home & Garden,6350 Collection Center Drive,Chicago,IL,60693,napahomeandgarden.com,jane@napahomeandgarden.com,888 893 2323,
inactive,Natural Decorations ,777 Industrial Park Drive,Brewton,AL,36427,ndi.com,kbillingsley@ndi.com,800 522 2627 ,
inactive,Noir/CFC,504 E Alondra Boulevard,Gardena,CA,90248,noirfurniturela.com,info@noirfurniturela.com,310 527 5501  ,
active,O'brien Schridde,,Los Angeles,CA,,obrienschridde.com,info@obrienschridde.com,818 848 7723,
inactive,Palecek,601 Parr Boulevard,Richmond ,CA,94801,palecek.com,info@palecek.com,800 274 7730,
inactive,Paragon,195 Paragon Drive,Alberville,AL,35950,paragonpg.com,lbonds@paragonpg.com,256 593 4700,
active,Park Hill Collection,1400 E 28th Street,Little Rock ,AR,72206,parkhillcollection.com,customerservice@parkhillcollection.com,501 603 0600,
inactive,Peacock Park,14375 Torrey Road,Fenton,MI,48430,peacockparkdesign.com,sales@peacockparkdesign.com,866 504 4004,
inactive,Peking Handicraft,1388 San Mateo Avenue,South San Francisco,CA,94080,pkhc.com,sales@pkhc.com,650 871 3788,
active,Peninsula,16951 Murphy Avenue,Irvine,CA,92606,phcollection.com,frederico@phcollection.com,949 553 9856 ,
listing,Red Sheep Textiles,,,,,redsheeptextiles.com,redsheeptextiles@gmail.com ,770 886 1392,
listing,Regina Andrew,13725 Pennsylvania Road,Riverview,MI,48193,reginandrew.com,patreginaandrew@me.com,734 250 8042 ,
inactive,Sandy By the Sea,1100 S Marsh Wind Way,Ponte Vedra Beach,FL,32082,sandybytheseadesigns.com,sandybytheseadesigns@gmail.com,770 633 5872,
inactive,Sarreid,3905 Airport Drive,Wilson,NC,27896,sarreid.com,sales@sarreid.com,252 391 1414,
listing,Second Nature,,,,,,tubbin@mchsi.com,608 637 8860,
inactive,Slippin Southern,2807 Highway 58 North ,Snow Hill,NC,28580,shoptrumanpony.com,slippinsouthern@gmail.com,252 747 7916,
listing,Square Feathers,,,,,squarefeathers.com,ron@squarefeathers.com,512 301 2939,
inactive,Stray Dog Designs,611 E 11th Street,Chattanooga,TN,37403,straydogdesigns.com,info@straydogdesigns.com,866 478 7297,
active,Sugarboo Designs,PO Box 36,Roswell,GA,30077,sugarboodesigns.com,info@sugarboodesigns.com,770 643 0069,
inactive,Surya,140 Executive Drive,Calhoun,GA,30701,surya.com,lynde.worley@surya.com,706 625 4823,
active,Taylor Scott,1123 Redondo Boulevard,Inglewood,CA,90302,taylorscottcollection.com,jtgold@earthlink.net,310 672 4040,
inactive,The Import Collection,7885 Nelson Road,Panorama City,CA,91402,importcollection.com,unknown@theimportcollection.com,818 782 3060,
inactive,The Uttermost co.,3325 Grassy Hill Road,Rocky Mount,VA,24151,uttermost.com,lfisher@uttermost.com,540 483 5103,
inactive,Tourmaline Home,PO Box 156,Cold Spring,NY,10516,tourmalinehome.com,info@tourmalinehome.com,917 225 1249,
inactive,Trend Lighting Corp,4821 4th Street,Irwindale,CA,91706,tlighting.com,stan@tlighting.com,626 480 8880,
inactive,Two's Co.,500 Saw Mill River Road,Elmsford,NY,10523,twoscompany.com,info@twoscompany.com,914 345 2222,
active,Villa Home,4505 Bandini Boulevard,Vernon,CA,90058,villahomecollection.com,nick@classicconcepts.net,323 264 7017,
inactive,Worlds Away,322 S Hollywood Street ,Memphis,TN,38104,worlds-away.com,ljones@worlds-away.com,901 529 0844,
inactive,Zaricor Original Signs,,,,,zaricororiginals.com,bdz@zaricororiginals.com,770 534 1448,
inactive,Zeugma Imports,1804 Montreal Court Suite E ,Tucker,GA,30084,zeugmaimimport.com,info@zeugmaimport.com,770 270 2200,
